X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-119.45,35.0699999991124,train,0.0014048923221312137,71.63266226064192,0.956744008561063
-119.13,35.1999999991109,train,0.0026141278980399626,87.79915012462533,0.997102337198394
-119.7573,35.4927999991078,train,0.0027360939472202044,89.14458066780462,0.9977938456709035
-119.6016,35.3317999991095,train,0.0022429788911837076,81.71140425276131,0.9933567352208756
-117.8742,35.2323,train,6.649493006416964E-4,55.75945622672813,0.7738339899539425
-113.246935,33.552861,train,1.440436632618703E-4,21.968030974853846,0.27530749086101347
-118.110128422248,34.5811336834526,train,6.871850659802869E-4,56.52805991784441,0.7848013603089181
-113.102702831318,32.1102568122582,train,7.128492130129875E-5,12.664095753638,0.14730773607530145
-115.744197058426,34.5577495379282,train,0.0011697718211347605,68.84405101728454,0.9268329820249487
-115.994223996463,36.6055165056083,train,5.67476011923231E-5,10.269805053816823,0.11914175223090073
-118.82116769582,35.4228652946366,train,8.43415684369121E-4,61.002956448541,0.848238550133769
-117.85522159284,35.1645239335984,train,6.040147280571678E-4,53.53991532991932,0.7408290777056986
-117.718292917399,35.4024147470069,train,0.0010200433054315266,65.66032955774882,0.897745888690356
-118.98982136349,39.5651130067508,train,2.1198998798105563E-4,31.27232903030054,0.37743112456963135
-117.984483165227,35.5009973265364,train,3.46909548055837E-4,40.755823183966754,0.5395320538584043
-118.041042776565,36.6190915171686,train,2.3602925974656756E-4,33.59128303234722,0.4100045831561391
-113.71961490263,39.8868468547325,train,3.1871542309433695E-5,5.320004496781583,0.06876949267674115
-114.300622117815,40.8998466771627,train,2.889624431370842E-5,4.721406778125611,0.06255500900173827
-112.821445606679,40.1991479870317,train,8.985552284293047E-4,62.559858807053715,0.8658382574550396
-112.030562541174,40.8304236886411,train,9.957767707101347E-5,16.5082030415405,0.19956878167154324
-120.219002687674,35.7802948005778,train,5.613325476410622E-4,52.0362372181188,0.7148819612485218
-112.873656902845,40.1951476908453,train,9.468469268458025E-4,63.52263148673158,0.8795673581889748
-117.997187179758,35.286861742625,train,0.0013517663013608008,71.34859926395592,0.9512893193684273
-112.88310714588,40.195147625556,train,0.0010077322505495712,65.35905412977078,0.8948926494097802
-110.656401732572,39.492584126589,train,1.0609589625124616E-4,17.276144114222127,0.21114761943366733
-113.852819745086,40.0090338816607,train,3.2622395259754255E-5,5.500203819212093,0.07033127296950725
-112.74031470343,40.3001469355093,train,4.959293539017957E-4,49.48344203067554,0.6699938463850739
-113.186825095363,40.2077253158698,train,1.8553660932415014E-4,28.28630344819532,0.3395043959537756
-120.686223976946,36.608481823185,train,0.0012730273708840673,70.295156265251,0.9419143739830242
-113.013640132953,38.3948587598158,train,5.025595568535654E-5,9.055075520630496,0.10626553903807823
-113.740316,32.218473,train,2.731325169867571E-4,36.56123963502156,0.45696656473083297
-112.78251235953,40.0067113791343,train,1.4444900633967314E-4,22.017192300965448,0.27596386591868294
-119.867447807617,35.6148256541937,train,0.0011831322922518392,69.07991156431405,0.9289859619658027
-113.020581561883,40.2698654774875,train,2.3554640222456274E-4,33.548421467902365,0.4093673852483398
-111.795471179144,40.3812720944013,train,1.616508213225888E-4,24.89900668406939,0.3032777386766905
-115.690121807645,33.9355189688099,train,3.864778899012522E-4,43.48473003327821,0.5785130970015182
-116.517685693211,33.9936198430071,train,2.9894004957440283E-4,38.042795106029246,0.48740888985451014
-113.121027418676,39.6955942551453,train,1.4315643735248967E-4,21.865279540440135,0.2738687219910034
-112.741059,38.786355,train,1.697844280348464E-4,26.11779714428708,0.3158314699893595
-115.01552282013,32.7091968847451,train,7.965230635228253E-4,60.069214290605046,0.8314659583452857
-120.378318627952,36.7512808114315,train,4.498901885229799E-4,47.500296959983785,0.6342202815154525
-114.723699147488,32.7257102243581,train,7.964974861418101E-4,60.06849678926013,0.8314563216436652
-120.08177715795,35.6560889952868,train,0.0014136907973783656,71.85612089075592,0.9575864930838615
-112.234441,32.355886,train,3.226342138819851E-5,5.414052664852261,0.0695849314255862
-115.68454187161,34.9868005666681,train,2.69666137066409E-4,36.18214787953361,0.4527422254712201
-114.912812116804,37.0024149702477,train,3.7468960933326266E-5,6.560342332579339,0.08034934309024566
-118.979791801015,39.6163621623391,train,1.1854245507025518E-4,18.70547976494223,0.2327942048689735
-114.654214633955,36.8909992388702,train,6.923434081042683E-5,12.389790979887312,0.14338998151476057
-114.666974989853,36.8952490562187,train,6.9387862092932E-5,12.410119592457704,0.1436839152981565
-120.611223064926,36.6757807991495,train,6.692256850538064E-4,55.85795487075671,0.7759857910778281
-113.439263875678,38.6720905351214,train,2.4772341253192428E-5,3.909514239987812,0.05387280607705147
-118.54505094334,35.3875742067012,train,2.1484571421015095E-4,31.591995679658773,0.38139290812422333
-114.14663215526,32.6728333984787,train,2.7849468568805E-4,36.903192359444596,0.4634370815998149
-117.850572652747,34.6022209323745,train,3.3412637223127984E-4,40.28657954073825,0.5261836122060171
-115.071862694546,32.9971209551937,train,0.0014330955258033662,72.05743690906353,0.9593870151699642
-118.898315520292,34.9624008064274,train,7.047936542467567E-4,56.914615233867444,0.7931078331565814
-120.838594690515,36.8775682665874,train,6.842540999751447E-4,56.31642883437265,0.7833867196182341
-117.88289542321,38.0273714786921,train,1.0334359498772989E-4,16.924779949548377,0.20627905713296812
-114.613893055769,34.8480292995645,train,2.6524784597846293E-4,35.75293390437243,0.447310158840004
-116.878185556916,36.4629605990619,train,0.0028058118295054358,90.80725361498071,0.9981122277919623
-114.730861581405,33.4288595459794,train,5.949650018911649E-4,53.00124023633976,0.7355325113906712
-112.940533,40.785491,train,3.847131287354488E-4,43.298594065093766,0.5768470039257012
-114.526049499763,33.621603345618,train,3.556237655083148E-4,41.32529768657915,0.5484154045771287
-114.719151299584,33.3174108336864,train,8.285460640207567E-4,60.81603068680392,0.8431090884653852
-116.577538589374,34.0455659884842,train,1.1038288429027822E-4,17.782620641359664,0.2186714832989084
-115.310544,35.340543,train,2.0226558531657223E-4,30.295362493442646,0.3637490581634123
-119.658363,35.413904,train,0.002481908202991703,85.4954919826283,0.9961058322491783
-114.862919,33.572151,test,5.235000204899792E-4,50.831317433761306,0.689719286487684
-115.718481,32.7162,test,3.79780580758018E-4,42.8997884182511,0.5721552240022212
-116.100425,33.17423,test,4.621621844462787E-4,48.14340300044314,0.644118648129163
-110.710501429093,38.3699142419278,test,7.152665392698483E-5,12.696679378794194,0.1477683982362138
-119.39,34.9599999991136,test,4.450383577028075E-4,47.02148203576675,0.6302313653355132
-119.548,35.3173999991096,test,0.0024368870275560577,84.6165675056101,0.995693505337418
-119.139223,35.3825,test,0.002458602430082042,84.74127156910933,0.9958975688790074
-117.934027586511,35.2748905026243,test,0.0011308471747673886,68.09352892822952,0.9201811003589859
-114.566645073677,33.0216204262259,test,5.232474519394608E-4,50.816713210363694,0.6895440482202511
-118.756011882845,40.7573147089627,test,2.1523602200797706E-5,3.319765867990499,0.046976530123526206
-119.36,35.1199999991118,test,0.0012361051009395125,70.08951925825271,0.9369166092814771
-120.54662345509,36.8319776092359,test,5.304209244518503E-4,51.1744010519629,0.694482879052395
-119.5123,35.2740999991101,test,0.0020970435436968252,79.39616622146723,0.9907941403248666
-117.64731,35.61825,test,7.290460107931846E-4,57.57789015729034,0.8040260231332421
-116.427727587803,36.3475355210025,test,1.4826048797443491E-4,22.63122422168418,0.28210682278473553
-119.5301,35.375199999109,test,0.0029737107410895748,91.90315083992651,0.9987029902093735
-118.302897,41.469048,test,2.3027173129965833E-5,3.5916989974465574,0.05017446878589571
-119.4944,35.3462999991093,test,0.0032339661323979624,95.9601914958412,0.9992751106639052
