Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.23014E-4,32.51823291,0.392585598,0.08970067,0.255555556,0.340909091
2.25817E-4,32.765340212,0.396380726,0.088617566,0.261111111,0.340909091
2.27816E-4,33.014506172,0.399071565,0.087534462,0.261111111,0.340909091
2.30459E-4,33.266840365,0.40261137,0.086451359,0.266666667,0.340909091
2.35257E-4,33.52273225,0.408985486,0.085368255,0.266666667,0.363636364
2.37925E-4,33.759561229,0.412499751,0.084383616,0.283333333,0.363636364
2.40469E-4,34.023050554,0.415830808,0.083300512,0.288888889,0.363636364
2.43019E-4,34.264906684,0.419151784,0.082315872,0.288888889,0.363636364
2.49582E-4,34.512356684,0.42761126,0.081331233,0.288888889,0.363636364
2.53846E-4,34.763889083,0.433041573,0.080346593,0.288888889,0.363636364
2.58368E-4,35.019642401,0.438744406,0.079361954,0.288888889,0.363636364
2.60504E-4,35.253237683,0.441417249,0.078475778,0.288888889,0.363636364
2.6343E-4,35.514963604,0.445059768,0.077491138,0.288888889,0.363636364
2.65248E-4,35.752954067,0.447310159,0.076604963,0.288888889,0.363636364
2.67493E-4,36.019366046,0.450076633,0.075620323,0.294444444,0.363636364
2.7073E-4,36.261838002,0.454042556,0.074734147,0.3,0.363636364
2.72084E-4,36.50621425,0.455692433,0.073847972,0.3,0.363636364
2.76789E-4,36.753129121,0.461387458,0.072961796,0.305555556,0.363636364
2.7964E-4,37.003955106,0.464808992,0.07207562,0.316666667,0.363636364
2.82837E-4,37.257206025,0.46862056,0.071189445,0.316666667,0.363636364
2.87701E-4,37.514129295,0.474366712,0.070303269,0.322222222,0.363636364
2.93919E-4,37.77578257,0.481623404,0.069417093,0.322222222,0.363636364
2.98424E-4,38.013107946,0.486817332,0.068629382,0.322222222,0.386363636
3.026E-4,38.253343742,0.491585758,0.06784167,0.327777778,0.386363636
3.06881E-4,38.527255458,0.496428335,0.066955494,0.327777778,0.386363636
3.11402E-4,38.774822717,0.501492086,0.066167783,0.327777778,0.386363636
3.13467E-4,39.02464302,0.503787565,0.065380071,0.327777778,0.386363636
3.18335E-4,39.278036091,0.509158144,0.064592359,0.327777778,0.386363636
3.20787E-4,39.501729754,0.511841165,0.063903111,0.327777778,0.386363636
3.25289E-4,39.760951169,0.51673028,0.0631154,0.327777778,0.386363636
3.29076E-4,40.022939775,0.520804137,0.062327688,0.327777778,0.386363636
3.32966E-4,40.254734548,0.524952572,0.06163844,0.327777778,0.386363636
3.428E-4,40.524616617,0.535282748,0.060850729,0.333333333,0.409090909
3.47092E-4,40.766088081,0.539719862,0.060161481,0.338888889,0.409090909
3.51589E-4,41.010786498,0.544323602,0.059472233,0.338888889,0.409090909
3.54354E-4,41.257869075,0.547131524,0.058782985,0.338888889,0.409090909
3.59057E-4,41.507613424,0.551867692,0.058093738,0.344444444,0.409090909
3.63898E-4,41.761148887,0.556691991,0.05740449,0.344444444,0.409090909
3.68362E-4,42.017800005,0.561093549,0.056715242,0.344444444,0.409090909
3.70143E-4,42.27651919,0.562837499,0.056025994,0.344444444,0.409090909
3.73863E-4,42.537003909,0.566457987,0.055336747,0.35,0.409090909
3.77756E-4,42.762500819,0.570214354,0.054745963,0.35,0.431818182
3.8168E-4,43.028588767,0.573967927,0.054056715,0.355555556,0.454545455
3.84333E-4,43.258500464,0.576487099,0.053465931,0.355555556,0.454545455
3.86892E-4,43.528407776,0.578903184,0.052776684,0.366666667,0.454545455
